time delta1 delta2 delta3 delta4
0.420000 321872.286385 321872.286385 321872.286385 321872.286385
0.430000 327217.474688 327217.474688 327217.474688 327217.474688
0.440000 333498.077427 333498.077427 333498.077427 333498.077427
0.450000 340638.825199 340638.825199 340638.825199 340638.825199
0.460000 348550.508584 348550.508584 348550.508584 348550.508584
0.470000 357129.914443 357129.914443 357129.914443 357129.914443
0.480000 366260.099032 366260.099032 366260.099032 366260.099032
0.490000 375811.078733 375811.078733 375811.078733 375811.078733
0.500000 385641.000000 385641.000000 385641.000000 385641.000000
0.510000 385641.000000 380851.006139 385641.000000 390460.927983
0.520000 385641.000000 376165.783069 385641.000000 395234.072548
0.530000 385641.000000 371657.150628 385641.000000 399883.089426
0.540000 385641.000000 367392.909181 385641.000000 404331.357382
0.550000 385641.000000 363435.977935 385641.000000 408504.394145
0.560000 385641.000000 359843.674765 385641.000000 412331.303138
0.570000 385641.000000 356667.131801 385641.000000 415746.211083
0.580000 385641.000000 353950.835928 385641.000000 418689.653746
0.590000 385641.000000 351732.279641 385641.000000 421109.866165
0.600000 385641.000000 350041.705619 385641.000000 422963.934865
0.610000 385641.000000 348901.927941 385641.000000 424218.772793
0.620000 385641.000000 348328.214038 385641.000000 424851.882861
0.630000 385641.000000 348328.214038 385641.000000 424851.882861
0.640000 385641.000000 348901.927941 385641.000000 424218.772793
0.650000 385641.000000 350041.705619 385641.000000 422963.934865
0.660000 385641.000000 351732.279641 385641.000000 421109.866165
0.670000 385641.000000 353950.835928 385641.000000 418689.653746
0.680000 385641.000000 356667.131801 385641.000000 415746.211083
0.690000 385641.000000 359843.674765 385641.000000 412331.303138
0.700000 385641.000000 363435.977935 385641.000000 408504.394145
0.710000 385641.000000 367392.909181 385641.000000 404331.357382
0.720000 385641.000000 371657.150628 385641.000000 399883.089426
0.730000 385641.000000 376165.783069 385641.000000 395234.072548
0.740000 385641.000000 380851.006139 385641.000000 390460.927983
0.750000 385641.000000 385641.000000 385641.000000 385641.000000
0.760000 385641.000000 390460.927983 385641.000000 380851.006139
0.770000 385641.000000 395234.072548 385641.000000 376165.783069
0.780000 385641.000000 399883.089426 385641.000000 371657.150628
0.790000 385641.000000 404331.357382 385641.000000 367392.909181
0.800000 385641.000000 408504.394145 385641.000000 363435.977935
0.810000 385641.000000 412331.303138 385641.000000 359843.674765
0.820000 385641.000000 415746.211083 385641.000000 356667.131801
0.830000 385641.000000 418689.653746 385641.000000 353950.835928
0.840000 385641.000000 421109.866165 385641.000000 351732.279641
0.850000 385641.000000 422963.934865 385641.000000 350041.705619
0.860000 385641.000000 424218.772793 385641.000000 348901.927941
0.870000 385641.000000 424851.882861 385641.000000 348328.214038
0.880000 385641.000000 424851.882861 385641.000000 348328.214038
0.890000 385641.000000 424218.772793 385641.000000 348901.927941
0.900000 385641.000000 422963.934865 385641.000000 350041.705619
0.910000 385641.000000 421109.866165 385641.000000 351732.279641
0.920000 385641.000000 418689.653746 385641.000000 353950.835928
0.930000 385641.000000 415746.211083 385641.000000 356667.131801
0.940000 385641.000000 412331.303138 385641.000000 359843.674765
0.950000 385641.000000 408504.394145 385641.000000 363435.977935
0.960000 385641.000000 404331.357382 385641.000000 367392.909181
0.970000 385641.000000 399883.089426 385641.000000 371657.150628
0.980000 385641.000000 395234.072548 385641.000000 376165.783069
0.990000 385641.000000 390460.927983 385641.000000 380851.006139
1.000000 385641.000000 385641.000000 385641.000000 385641.000000
1.010000 380851.006139 385641.000000 390460.927983 385641.000000
1.020000 376165.783069 385641.000000 395234.072548 385641.000000
1.030000 371657.150628 385641.000000 399883.089426 385641.000000
1.040000 367392.909181 385641.000000 404331.357382 385641.000000
1.050000 363435.977935 385641.000000 408504.394145 385641.000000
1.060000 359843.674765 385641.000000 412331.303138 385641.000000
1.070000 356667.131801 385641.000000 415746.211083 385641.000000
1.080000 353950.835928 385641.000000 418689.653746 385641.000000
1.090000 351732.279641 385641.000000 421109.866165 385641.000000
1.100000 350041.705619 385641.000000 422963.934865 385641.000000
1.110000 348901.927941 385641.000000 424218.772793 385641.000000
1.120000 348328.214038 385641.000000 424851.882861 385641.000000
1.130000 348328.214038 385641.000000 424851.882861 385641.000000
1.140000 348901.927941 385641.000000 424218.772793 385641.000000
1.150000 350041.705619 385641.000000 422963.934865 385641.000000
1.160000 351732.279641 385641.000000 421109.866165 385641.000000
1.170000 353950.835928 385641.000000 418689.653746 385641.000000
1.180000 356667.131801 385641.000000 415746.211083 385641.000000
1.190000 359843.674765 385641.000000 412331.303138 385641.000000
1.200000 363435.977935 385641.000000 408504.394145 385641.000000
1.210000 367392.909181 385641.000000 404331.357382 385641.000000
1.220000 371657.150628 385641.000000 399883.089426 385641.000000
1.230000 376165.783069 385641.000000 395234.072548 385641.000000
1.240000 380851.006139 385641.000000 390460.927983 385641.000000
1.250000 385641.000000 385641.000000 385641.000000 385641.000000
1.260000 390460.927983 385641.000000 380851.006139 385641.000000
1.270000 395234.072548 385641.000000 376165.783069 385641.000000
1.280000 399883.089426 385641.000000 371657.150628 385641.000000
1.290000 404331.357382 385641.000000 367392.909181 385641.000000
1.300000 408504.394145 385641.000000 363435.977935 385641.000000
1.310000 412331.303138 385641.000000 359843.674765 385641.000000
1.320000 415746.211083 385641.000000 356667.131801 385641.000000
1.330000 418689.653746 385641.000000 353950.835928 385641.000000
1.340000 421109.866165 385641.000000 351732.279641 385641.000000
1.350000 422963.934865 385641.000000 350041.705619 385641.000000
1.360000 424218.772793 385641.000000 348901.927941 385641.000000
1.370000 424851.882861 385641.000000 348328.214038 385641.000000
1.380000 424851.882861 385641.000000 348328.214038 385641.000000
1.390000 424218.772793 385641.000000 348901.927941 385641.000000
1.400000 422963.934865 385641.000000 350041.705619 385641.000000
1.410000 421109.866165 385641.000000 351732.279641 385641.000000
1.420000 418689.653746 385641.000000 353950.835928 385641.000000
1.430000 415746.211083 385641.000000 356667.131801 385641.000000
1.440000 412331.303138 385641.000000 359843.674765 385641.000000
1.450000 408504.394145 385641.000000 363435.977935 385641.000000
1.460000 404331.357382 385641.000000 367392.909181 385641.000000
1.470000 399883.089426 385641.000000 371657.150628 385641.000000
1.480000 395234.072548 385641.000000 376165.783069 385641.000000
1.490000 390460.927983 385641.000000 380851.006139 385641.000000
1.500000 385641.000000 385641.000000 385641.000000 385641.000000
1.510000 380851.006139 390460.927983 380851.006139 390460.927983
1.520000 376165.783069 395234.072548 376165.783069 395234.072548
1.530000 371657.150628 399883.089426 371657.150628 399883.089426
1.540000 367392.909181 404331.357382 367392.909181 404331.357382
1.550000 363435.977935 408504.394145 363435.977935 408504.394145
1.560000 359843.674765 412331.303138 359843.674765 412331.303138
1.570000 356667.131801 415746.211083 356667.131801 415746.211083
1.580000 353950.835928 418689.653746 353950.835928 418689.653746
1.590000 351732.279641 421109.866165 351732.279641 421109.866165
1.600000 350041.705619 422963.934865 350041.705619 422963.934865
1.610000 348901.927941 424218.772793 348901.927941 424218.772793
1.620000 348328.214038 424851.882861 348328.214038 424851.882861
1.630000 348328.214038 424851.882861 348328.214038 424851.882861
1.640000 348901.927941 424218.772793 348901.927941 424218.772793
1.650000 350041.705619 422963.934865 350041.705619 422963.934865
1.660000 351732.279641 421109.866165 351732.279641 421109.866165
1.670000 353950.835928 418689.653746 353950.835928 418689.653746
1.680000 356667.131801 415746.211083 356667.131801 415746.211083
1.690000 359843.674765 412331.303138 359843.674765 412331.303138
1.700000 363435.977935 408504.394145 363435.977935 408504.394145
1.710000 367392.909181 404331.357382 367392.909181 404331.357382
1.720000 371657.150628 399883.089426 371657.150628 399883.089426
1.730000 376165.783069 395234.072548 376165.783069 395234.072548
1.740000 380851.006139 390460.927983 380851.006139 390460.927983
1.750000 385641.000000 385641.000000 385641.000000 385641.000000
1.760000 390460.927983 380851.006139 390460.927983 380851.006139
1.770000 395234.072548 376165.783069 395234.072548 376165.783069
1.780000 399883.089426 371657.150628 399883.089426 371657.150628
1.790000 404331.357382 367392.909181 404331.357382 367392.909181
1.800000 408504.394145 363435.977935 408504.394145 363435.977935
1.810000 412331.303138 359843.674765 412331.303138 359843.674765
1.820000 415746.211083 356667.131801 415746.211083 356667.131801
1.830000 418689.653746 353950.835928 418689.653746 353950.835928
1.840000 421109.866165 351732.279641 421109.866165 351732.279641
1.850000 422963.934865 350041.705619 422963.934865 350041.705619
1.860000 424218.772793 348901.927941 424218.772793 348901.927941
1.870000 424851.882861 348328.214038 424851.882861 348328.214038
1.880000 424851.882861 348328.214038 424851.882861 348328.214038
1.890000 424218.772793 348901.927941 424218.772793 348901.927941
1.900000 422963.934865 350041.705619 422963.934865 350041.705619
1.910000 421109.866165 351732.279641 421109.866165 351732.279641
1.920000 418689.653746 353950.835928 418689.653746 353950.835928
1.930000 415746.211083 356667.131801 415746.211083 356667.131801
1.940000 412331.303138 359843.674765 412331.303138 359843.674765
1.950000 408504.394145 363435.977935 408504.394145 363435.977935
1.960000 404331.357382 367392.909181 404331.357382 367392.909181
1.970000 399883.089426 371657.150628 399883.089426 371657.150628
1.980000 395234.072548 376165.783069 395234.072548 376165.783069
1.990000 390460.927983 380851.006139 390460.927983 380851.006139
2.000000 385641.000000 385641.000000 385641.000000 385641.000000
